Altium Designer Pick and Place Locations
C:\Users\IndrekKeskküla\AppData\Local\Temp\Releases\Snapshot\1\Assembly Master\PnP\PnP_KR-Df-01-EL-00_vv1_2024-12-20.csv

========================================================================================================================
File Design Information:

Date:       20/12/24
Time:       15:21
Revision:   Not in VersionControl
Variant:    Master
Units used: mm

"Center-X(mm)","Center-Y(mm)","Comment","Description","Designator","Footprint","Layer","Rotation"
"77,0000","57,0000","VLPR-24-1028-2","Light Pipe, Rigid, Vertical, Board Mount, Smd Led, 1.028 In., 4 Mm X 2 Mm Rectangular Face","ME603","VLPR-24-1028-2-Footprint-1","TopLayer","180"
"99,5000","21,0000","24884","Standoffs & Spacers SM Standoff Steel 650 pcs per reel","MH406","24884-Footprint-1","BottomLayer","180"
"69,5000","21,0000","24884","Standoffs & Spacers SM Standoff Steel 650 pcs per reel","MH405","24884-Footprint-1","BottomLayer","180"
"19,0000","5,0000","24884","Standoffs & Spacers SM Standoff Steel 650 pcs per reel","MH404","24884-Footprint-1","BottomLayer","180"
"85,0000","86,0000","24884","Standoffs & Spacers SM Standoff Steel 650 pcs per reel","MH403","24884-Footprint-1","BottomLayer","180"
"151,0000","5,0000","24884","Standoffs & Spacers SM Standoff Steel 650 pcs per reel","MH402","24884-Footprint-1","BottomLayer","180"
"19,0000","95,0000","24884","Standoffs & Spacers SM Standoff Steel 650 pcs per reel","MH401","24884-Footprint-1","BottomLayer","180"
"151,0000","95,0000","24884","Standoffs & Spacers SM Standoff Steel 650 pcs per reel","MH400","24884-Footprint-1","BottomLayer","180"
"151,3000","69,6000","10k","Resistor, 0603, 10k, 1%, 1/10W","R415","Resistor_0603_M","TopLayer","90"
"153,8001","66,5557","SQ2361CEES-T1_GE3","P-Channel 60V 2,8A SOT-23-3","Q400","3-CPH","TopLayer","270"
"153,9000","69,2000","MM3Z8V2ST1G","MM3Z8V2ST1 Series 200 mW 10 mA 8.2 V SMT Zener Voltage Regulator - SOD-323","D402","SOD-323","TopLayer","180"
"150,1526","62,2050","MIC5504-3.3YM5","3.3V 300mA LDO","U410","FP-SOT23-5LD-PL-1-IPC_A","TopLayer","0"
"146,4526","60,3050","10k","Resistor, 0603, 10k, 1%, 1/10W","R412","Resistor_0603_M","TopLayer","180"
"153,5526","62,4550","1u","MLCC, 0603, 1u, 10%, 10V, X7R","C441","MLCC_0603_M","TopLayer","90"
"146,6526","62,4550","1u","MLCC, 0603, 1u, 10%, 10V, X7R","C440","MLCC_0603_M","TopLayer","90"
"28,4433","87,1099","Testpoint 1mm","Testpoint 1mm","TP509","Testpoint_1mm","BottomLayer","90"
"21,9568","90,5608","Testpoint 1mm","Testpoint 1mm","TP508","Testpoint_1mm","BottomLayer","90"
"21,9808","87,1179","Testpoint 1mm","Testpoint 1mm","TP507","Testpoint_1mm","BottomLayer","90"
"28,4500","90,5608","Testpoint 1mm","Testpoint 1mm","TP506","Testpoint_1mm","BottomLayer","90"
"20,6000","83,7000","10k","Resistor, 0603, 10k, 1%, 1/10W","R521","Resistor_0603_M","TopLayer","90"
"19,2000","83,7000","10k","Resistor, 0603, 10k, 1%, 1/10W","R520","Resistor_0603_M","TopLayer","90"
"17,8000","83,7000","10k","Resistor, 0603, 10k, 1%, 1/10W","R519","Resistor_0603_M","TopLayer","90"
"22,0000","86,4000","10k","Resistor, 0603, 10k, 1%, 1/10W","R518","Resistor_0603_M","TopLayer","90"
"150,2328","33,6168","0.05R","SMD Chip Resistor, 50 MOhm, ± 1%, 250 mW, 0805 [2012 Metric], Thick Film, Anti-Sulfur","R155","0805_resisitor_based_on_RCWE080550L0FNEA","TopLayer","180"
"132,9657","33,6168","0.05R","SMD Chip Resistor, 50 MOhm, ± 1%, 250 mW, 0805 [2012 Metric], Thick Film, Anti-Sulfur","R154","0805_resisitor_based_on_RCWE080550L0FNEA","TopLayer","180"
"116,1693","33,6168","0.05R","SMD Chip Resistor, 50 MOhm, ± 1%, 250 mW, 0805 [2012 Metric], Thick Film, Anti-Sulfur","R153","0805_resisitor_based_on_RCWE080550L0FNEA","TopLayer","180"
"99,1250","33,6168","0.05R","SMD Chip Resistor, 50 MOhm, ± 1%, 250 mW, 0805 [2012 Metric], Thick Film, Anti-Sulfur","R152","0805_resisitor_based_on_RCWE080550L0FNEA","TopLayer","180"
"82,7500","33,6168","0.05R","SMD Chip Resistor, 50 MOhm, ± 1%, 250 mW, 0805 [2012 Metric], Thick Film, Anti-Sulfur","R151","0805_resisitor_based_on_RCWE080550L0FNEA","TopLayer","180"
"52,6500","33,6168","0.05R","SMD Chip Resistor, 50 MOhm, ± 1%, 250 mW, 0805 [2012 Metric], Thick Film, Anti-Sulfur","R150","0805_resisitor_based_on_RCWE080550L0FNEA","TopLayer","180"
"146,7001","33,6000","22u","MLCC, 0805, 22u, 20%, 35V, X5R","C147","MLCC_0805_M","TopLayer","180"
